Age,NormGrp,Mn,SD,Scale
10,Total,0.94,1.87,CD
11,Total,1.02,1.49,CD
12,Total,0.95,1.51,CD
13,Total,1.11,1.83,CD
14,Total,1.37,2.28,CD
15,Total,1.35,2.26,CD
16,Total,1.41,2.56,CD
17,Total,1.38,2.18,CD
18,Total,1.38,2.18,CD
6,Male,2.74,3.12,OD
7,Male,3.13,3.44,OD
8,Male,2.69,2.96,OD
9,Male,3.07,3.3,OD
10,Male,2.63,2.98,OD
11,Male,3.3,3.14,OD
12,Male,3.06,3.68,OD
13,Male,3.73,3.85,OD
14,Male,3.73,3.85,OD
15,Male,2.96,3.31,OD
16,Male,3.18,3.82,OD
17,Male,3.06,3.56,OD
18,Male,3.06,3.56,OD
6,Female,3.36,3.53,OD
7,Female,3.05,3.41,OD
8,Female,3.49,3.08,OD
9,Female,2.82,2.81,OD
10,Female,2.51,2.64,OD
11,Female,3.22,3.47,OD
12,Female,3.22,3.93,OD
13,Female,2.97,3.55,OD
14,Female,3.24,3.72,OD
15,Female,3.81,4.81,OD
16,Female,3.33,4.66,OD
17,Female,3.5,4.18,OD
18,Female,3.5,4.18,OD
6,Total,2.87,3.22,OD
7,Total,2.69,3.54,OD
8,Total,3.09,3.03,OD
9,Total,3.35,3.47,OD
10,Total,3.17,3.22,OD
11,Total,3.59,3.39,OD
12,Total,3.14,3.79,OD
13,Total,3.4,3.68,OD
14,Total,3.44,4.12,OD
15,Total,3.44,4.12,OD
16,Total,3.42,4.61,OD
17,Total,3.37,3.62,OD
18,Total,3.37,3.62,OD
